,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee
78,K201EC,38.88608333333330,-104.89052777777800,88.1,0.01,0.0,CO ,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.                        "
79,KPGS        ,37.196666666666700,-107.11752777777800,88.1,0.01,416.0,CO ,"KUTE, INC.                                                                  "
80,KMPZ        ,38.446638888888900,-106.01055555555600,88.1,0.01,827.0,CO ,"CHEYENNE MOUNTAIN PUBLIC BROADCAST HOUSE, INC.                              "
81,K201IP,40.5325,-103.12327777777800,88.1,0.01,0.0,CO ,CSN INTERNATIONAL                                                           
82,WESU        ,41.553416666666700,-72.65758333333330,88.1,0.01,11.0,CT ,WESLEYAN                                                                    
83,WMNR        ,41.31897222222220,-73.25316666666670,88.1,0.01,123.0,CT ,"TOWN OF MONROE, CONNECTICUT                                                 "
84,WMNR        ,41.341638888888900,-73.27444444444440,88.1,0.01,117.0,CT ,"TOWN OF MONROE, CONNECTICUT                                                 "
85,WMNR        ,41.31897222222220,-73.25316666666670,88.1,0.01,82.0,CT ,"TOWN OF MONROE, CONNECTICUT                                                 "
86,WMHS        ,39.75761111111110,-75.66686111111110,88.1,0.01,37.0,DE ,RED CLAY CONSOLIDATED SCHOOL DISTRICT                                       
87,WJIS        ,27.131972222222200,-82.39397222222220,88.1,0.01,121.0,FL ,"RADIO TRAINING NETWORK, INC.                                                "
88,WUBA        ,29.80938888888890,-82.60705555555560,88.1,0.01,0.0,FL ,"NEIGHBORHOODS UNITED FOR A BETTER ALACHUA, INC.                             "
89,WRGP        ,25.540361111111100,-80.4683888888889,88.1,0.01,129.0,FL ,FLORIDA INTERNATIONAL UNIVERSITY BOARD OF TRUSTEES                          
90,WCRJ        ,30.27636111111110,-81.56397222222220,88.1,0.01,194.0,FL ,"RADIO TRAINING NETWORK, INC.                                                "
91,WHIJ        ,29.238027777777800,-82.12091666666670,88.1,0.01,117.0,FL ,"RADIO TRAINING NETWORK, INC.                                                "
92,WUWF        ,30.403805555555600,-86.99275,88.1,0.01,187.2,FL ,THE UNIVERSITY OF WEST FLORIDA                                              
93,WUWF        ,30.543833333333300,-87.22019444444450,88.1,0.01,29.2,FL ,THE UNIVERSITY OF WEST FLORIDA                                              
94,WEKI        ,28.582166666666700,-82.52894444444450,88.1,0.01,111.0,FL ,"CALL COMMUNICATIONS GROUP, INC.                                             "
95,WAYF        ,26.589222222222200,-80.212,88.1,0.01,321.0,FL ,HOPE MEDIA GROUP                                                            
96,W219DU,31.200277777777800,-81.49638888888890,88.1,0.01,0.0,GA ,CSN INTERNATIONAL                                                           
97,W201CC,34.10566666666670,-83.93019444444450,88.1,0.01,0.0,GA ,CSN INTERNATIONAL                                                           
98,W201DJ,31.54575,-82.89152777777780,88.1,0.01,0.0,GA ,FAMILY FIRST                                                                
99,WNEE        ,34.012055555555600,-83.29375,88.1,0.01,49.0,GA ,"CLARKE PUBLIC RADIO, INC.                                                   "
