Unnamed: 0,station_id,y_coord,x_coord,frequency_mhz,bandwidth_mhz,azimuth_deg,state,licensee,beamwidth_deg
754,KBNR        ,25.9198055555556,-97.5291388888889,88.3,0.01,88.0,TX ,"WORLD RADIO NETWORK, INC.                                                   ",120.0
779,WQIQ        ,38.1298611111111,-77.715,88.3,0.01,120.0,VA ,"VIRGINIA TECH FOUNDATION, INC.                                              ",120.0
789,KGTC        ,48.9348611111111,-119.436722222222,88.3,0.01,-394.0,WA ,RUTH'S HOUSE OF HOPE                                                        ,120.0
816,KSNH        ,34.2636388888889,-110.039277777778,88.5,0.01,3.0,AZ ,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL                   ",120.0
825,KYUA        ,35.4774722222222,-117.700333333333,88.5,0.01,396.0,CA ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
835,KQED-FM1,37.8823611111111,-122.220861111111,88.5,0.01,0.0,CA ,KQED INC.                                                                   ,360.0
839,KAWF        ,36.2044444444445,-119.565555555556,88.5,0.01,102.0,CA ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
847,K203DL,38.8244444444444,-102.352972222222,88.5,0.01,24.5,CO ,"THE PRAISE NETWORK, INC.                                                    ",120.0
885,KQBV        ,41.6025277777778,-94.0487222222222,88.5,0.01,57.0,IA ,ST. GABRIEL COMMUNICATIONS                                                  ,120.0
927,WNUA        ,38.5788611111111,-84.5816111111111,88.5,0.01,25.0,KY ,VANGUARD ASSOCIATION OF SUNBELT COLLEGES CORPORATION                        ,120.0
945,KRSU        ,45.1674722222222,-96.0008888888889,88.5,0.01,172.0,MN ,MINNESOTA PUBLIC RADIO                                                      ,120.0
965,KYPH        ,46.7479722222222,-112.331111111111,88.5,0.01,576.0,MT ,MONTANA STATE UNIVERSITY - BILLINGS                                         ,120.0
980,K203FW,34.4397222222222,-103.212777777778,88.5,0.01,96.0,NM ,GRACE COMMUNITY CHURCH OF AMARILLO                                          ,120.0
990,WAIB-LP     ,44.3081111111111,-75.7521666666667,88.5,0.01,0.0,NY ,"BETTERARTS, INC.                                                            ",360.0
1009,K203FE,35.9886111111111,-94.9388888888889,88.5,0.01,121.0,OK ,THE MOODY BIBLE INSTITUTE OF CHICAGO                                        ,120.0
1029,WYFU        ,39.787,-79.9895,88.5,0.01,106.0,PA ,"BIBLE BROADCASTING NETWORK, INC.                                            ",120.0
1044,WTTU        ,36.1759416666667,-85.5042027777778,88.5,0.01,0.0,TN ,TENNESSEE TECHNOLOGICAL UNIVERSITY                                          ,360.0
1073,KLRW        ,31.4212777777778,-100.543694444444,88.5,0.01,210.0,TX ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
1083,K203EY,37.0638611111111,-113.574416666667,88.5,0.01,32.1,UT ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
1114,K203AH,44.4966111111111,-109.152638888889,88.5,0.01,0.0,WY ,MONTANA STATE UNIVERSITY - BILLINGS                                         ,360.0
1115,KNPJ        ,44.4132777777778,-107.997583333333,88.5,0.01,151.0,WY ,"HI-LINE RADIO FELLOWSHIP, INC.                                              ",120.0
1124,WRWA        ,31.2085,-85.6141111111111,88.7,0.01,143.0,AL ,TROY UNIVERSITY                                                             ,120.0
1141,KFHM        ,34.2711833333333,-116.856588888889,88.7,0.01,135.8,CA ,"ADVANCE MINISTRIES, INC.                                                    ",120.0
1175,WPRN-LP     ,28.2813888888889,-81.3280555555556,88.7,0.01,92.0,FL ,"ENCUENTRO EDITION,INC                                                       ",120.0
1182,WJDS        ,33.3134722222222,-83.00125,88.7,0.01,41.0,GA ,"AUGUSTA RADIO FELLOWSHIP INSTITUTE, INC                                     ",120.0
1183,WEYY        ,33.7355277777778,-85.2758333333333,88.7,0.01,62.1,GA ,BARNES EVANGELISTIC MINISTRIES                                              ,120.0
1194,K204CC,44.54575,-114.081444444444,88.7,0.01,760.0,ID ,FAITH COMMUNICATIONS CORP.                                                  ,120.0
1204,WPCD        ,40.2241944444444,-88.2989444444444,88.7,0.01,103.0,IL ,PARKLAND COLLEGE                                                            ,120.0
1210,WRSE        ,41.8961388888889,-87.9458888888889,88.7,0.01,29.0,IL ,"BD. OF TRUSTEES, ELMHURST UNIVERSITY                                        ",120.0
1217,W204BF,41.10675,-85.1960277777778,88.7,0.01,0.0,IN ,"STAR EDUCATIONAL MEDIA NETWORK, INC.                                        ",360.0
1245,WFNT        ,41.9047777777778,-84.0780555555556,88.7,0.01,51.0,MI ,SMILE FM                                                                    ,120.0
1253,WGKZ-LP     ,45.8180555555556,-88.0657222222222,88.7,0.01,0.0,MI ,"KINGSFORD COMMUNITY RADIO, INC.                                             ",360.0
1278,WXDU        ,36.0356944444444,-79.0797222222222,88.7,0.01,77.0,NC ,DUKE UNIVERSITY                                                             ,120.0
1286,KVKR-FM1,42.8296944444445,-102.999055555556,88.7,0.01,0.0,NE ,SOUTHERN CULTURAL FOUNDATION                                                ,360.0
1295,WEHA        ,39.6049722222222,-74.4339444444445,88.7,0.01,67.9,NJ ,"SPREAD THE GOSPEL, INC.                                                     ",120.0
1352,WKGQ        ,40.0144444444444,-79.5175,88.7,0.01,713.0,PA ,"BROADCAST EDUCATIONAL COMMUNICATIONS, INC.                                  ",120.0
1360,WJMF        ,41.8034444444444,-71.557,88.7,0.01,163.0,RI ,BRYANT UNIVERSITY                                                           ,120.0
1362,WAGP        ,32.3577222222222,-80.9196111111111,88.7,0.01,101.0,SC ,"COMMUNITY BROADCASTING CORP. OF BEAUFORT, INC.                              ",120.0
1367,K204GC,44.3271944444444,-103.835472222222,88.7,0.01,0.0,SD ,SOUTH DAKOTA BOARD OF DIRECTORS FOR ED TELECOMMUNICATIONS                   ,360.0
1371,WIGH        ,35.722,-88.602,88.7,0.01,164.0,TN ,AMERICAN FAMILY ASSOCIATION                                                 ,120.0
1390,KTMU        ,33.7256388888889,-97.4741666666667,88.7,0.01,21.0,TX ,SOUTH CENTRAL OKLAHOMA CHRISTIAN BROADCASTING INC                           ,120.0
1404,K204BO,40.0891111111111,-111.821861111111,88.7,0.01,0.0,UT ,UTAH STATE UNIVERSITY OF AGRICULTURE AND APPLIED SCIENCE                    ,360.0
1425,WQMN        ,45.9913055555556,-89.5982222222222,88.7,0.01,67.0,WI ,RADIO 74 INTERNATIONALE,120.0
1442,KQSO        ,60.522,-151.073444444444,88.9,0.01,61.0,AK ,CSN INTERNATIONAL                                                           ,120.0
1472,KLVM        ,36.5346666666667,-121.621583333333,88.9,0.01,761.0,CA ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
1474,KSDW        ,33.0089166666667,-116.972222222222,88.9,0.01,535.0,CA ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
1483,KRFC        ,40.5677583333333,-104.916547222222,88.9,0.01,54.0,CO ,PUBLIC RADIO FOR THE FRONT RANGE                                            ,120.0
1503,WLFH        ,32.3018611111111,-81.8323333333333,88.9,0.01,76.0,GA ,"RADIO TRAINING NETWORK, INC.                                                ",120.0
1523,WIIT        ,41.8314166666667,-87.62725,88.9,0.01,74.0,IL ,ILLINOIS INSTITUTE OF TECHNOLOGY                                            ,120.0
1534,WARG        ,41.7766944444444,-87.8047777777778,88.9,0.01,25.0,IL ,COMMUNITY HIGH SCHOOL DISTRICT 217,120.0
1585,KGFC        ,47.4645,-111.35575,88.9,0.01,74.0,MT ,"HI-LINE RADIO FELLOWSHIP, INC.                                              ",120.0
1604,WBZC        ,39.8428888888889,-74.5440555555556,88.9,0.01,67.0,NJ ,FOUR RIVERS COMMUNITY BROADCASTING CORPORATION                              ,120.0
1619,W205BR,42.0319444444444,-76.7836111111111,88.9,0.01,158.0,NY ,CSN INTERNATIONAL                                                           ,120.0
1636,WBJV        ,40.36561111111111,-80.7264722222222,88.9,0.01,78.0,OH ,AMERICAN FAMILY ASSOCIATION                                                 ,120.0
1654,KFSH-FM     ,42.0679166666667,-121.971388888889,88.9,0.01,666.0,OR ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
1659,KQFE        ,44.00291666666671,-123.114527777778,88.9,0.01,290.0,OR ,"LOAM MEDIA, INC.                                                            ",120.0
1664,WWNW        ,41.1114444444444,-80.3389444444444,88.9,0.01,39.0,PA ,WESTMINSTER COLLEGE BOARD OF TRUSTEES                                       ,120.0
1667,WCOI        ,41.4271388888889,-78.6994166666667,88.9,0.01,76.0,PA ,"FAMILY LIFE MINISTRIES, INC.                                                ",120.0
1668,W205CW,40.7322222222222,-78.3255555555556,88.9,0.01,0.0,PA ,INVISIBLE ALLIES MINISTRIES                                                 ,360.0
1691,KLDN        ,31.4079444444444,-94.7649166666667,88.9,0.01,198.0,TX ,"BD SUPERVISORS,                                                             ",120.0
1692,KWAA        ,31.3840555555556,-97.2775,88.9,0.01,190.0,TX ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
1703,WMVA        ,37.7117222222222,-75.6856944444445,88.9,0.01,130.2,VA ,FRIENDSHIP CATHEDRAL FAMILY WORSHIP CENTER INC.                             ,120.0
1711,KCSH        ,47.1670555555556,-120.765055555556,88.9,0.01,167.0,WA ,"LIFETALK RADIO, INC.                                                        ",120.0
1716,K209FO,47.0052777777778,-122.944444444444,88.9,0.01,0.0,WA ,CSN INTERNATIONAL                                                           ,360.0
1728,W205CG,38.3755833333333,-81.6564166666667,88.9,0.01,0.0,WV ,EDUCATIONAL MEDIA FOUNDATION                                                ,360.0
1737,K205FE,41.4971666666667,-109.344,88.9,0.01,320.8,WY ,"HI-LINE RADIO FELLOWSHIP, INC.                                              ",120.0
1739,KOHR        ,44.7983055555556,-106.931444444444,88.9,0.01,22.0,WY ,"HI-LINE RADIO FELLOWSHIP, INC                                               ",120.0
1757,KUYI-LP     ,36.1155555555556,-111.227583333333,89.1,0.01,0.0,AZ ,THE HOPI FOUNDATION                                                         ,360.0
1764,K206AN,41.27375,-122.795027777778,89.1,0.01,0.0,CA ,SOUTHERN OREGON UNIVERSITY                                                  ,360.0
1817,KANO-FM1,19.1969722222222,-155.478861111111,89.1,0.01,0.0,HI ,"HAWAII PUBLIC RADIO, INC.                                                   ",360.0
1834,KBXY        ,44.2129444444444,-114.939055555556,89.1,0.01,-314.0,ID ,IDAHO STATE BOARD OF EDUCATION                                              ,120.0
1838,WVJC        ,38.4414444444444,-87.75725,89.1,0.01,101.0,IL ,ILLINOIS EASTERN COMMUNITY COLLEGES                                         ,120.0
1880,WEMU        ,42.2633611111111,-83.6260555555556,89.1,0.01,88.0,MI ,EASTERN MICHIGAN UNIVERSITY                                                 ,120.0
1889,KVCS        ,43.64275,-92.5265555555556,89.1,0.01,138.0,MN ,"VCY AMERICA, INC.                                                           ",120.0
1910,KJKL        ,46.8346388888889,-98.6929166666667,89.1,0.01,81.0,ND ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
1931,WDWN        ,42.9445,-76.5421388888889,89.1,0.01,27.0,NY ,CAYUGA COUNTY COMMUNITY COLLEGE                                             ,120.0
1936,WNYU-FM     ,40.8573055555556,-73.9128888888889,89.1,0.01,78.0,NY ,NEW YORK UNIVERSITY.                                                        ,120.0
1950,WKSV        ,41.6928333333333,-81.0473055555556,89.1,0.01,144.0,OH ,KENT STATE UNIVERSITY                                                       ,120.0
1963,K212DQ,42.2051388888889,-120.328555555556,89.1,0.01,0.0,OR ,CSN INTERNATIONAL                                                           ,360.0
1967,WBYH        ,41.4120277777778,-75.1637777777778,89.1,0.01,165.0,PA ,FOUR RIVERS COMMUNITY BROADCASTING CORP.                                    ,120.0
1974,WRXV        ,40.9195,-77.9741666666667,89.1,0.01,332.0,PA ,INVISIBLE ALLIES MINISTRIES                                                 ,120.0
2005,K206EV,30.7034722222222,-95.476,89.1,0.01,136.0,TX ,"PENSACOLA CHRISTIAN COLLEGE, INC.                                           ",120.0
2026,K206DL,48.0514722222222,-121.8615,89.1,0.01,367.5,WA ,"CSN INTERNATIONAL, INC.                                                     ",120.0
2074,KOHL        ,37.5371388888889,-121.904944444444,89.3,0.01,124.0,CA ,FREMONT-NEWARK COMMUNITY COLLEGE DISTRICT                                   ,120.0
2080,K207DJ,35.7057777777778,-118.559527777778,89.3,0.01,816.0,CA ,CSN INTERNATIONAL                                                           ,120.0
2086,KPCC        ,34.2266666666667,-118.067,89.3,0.01,891.0,CA ,PASADENA AREA COMMUNITY COLLEGE DISTRICT                                    ,120.0
2091,KMTG        ,37.2016111111111,-121.862722222222,89.3,0.01,-95.0,CA ,SAN JOSE UNIFIED SCHOOL DISTRICT                                            ,120.0
2116,WPIO        ,28.5845,-80.8488333333333,89.3,0.01,130.0,FL ,"FLORIDA PUBLIC RADIO, INC.                                                  ",120.0
2137,KUOI-FM     ,46.7284722222222,-117.007083333333,89.3,0.01,-35.0,ID ,UNIVERSITY OF IDAHO                                                         ,120.0
2157,KQUI        ,37.5838888888889,-101.363055555556,89.3,0.01,28.0,KS ,PRIMERA IGLESIA BAUTISTA INC.                                               ,120.0
2169,KAVK        ,31.5348888888889,-93.4226666666667,89.3,0.01,130.0,LA ,AMERICAN FAMILY ASSOCIATION                                                 ,120.0
2180,WSHN        ,46.6038333333333,-87.6209722222222,89.3,0.01,0.0,MI ,"CHRISTIANRADIOBROADCASTING.ORG, INC.                                        ",360.0
2227,KELP-FM     ,32.0848055555556,-106.734138888889,89.3,0.01,56.0,NM ,"SKY HIGH BROADCASTING, INC.                                                 ",120.0
2251,WYSZ        ,41.6253333333333,-83.6710555555556,89.3,0.01,74.0,OH ,"SIDE BY SIDE, INC.                                                          ",120.0
2257,KTHL        ,34.63925,-99.3556388888889,89.3,0.01,77.0,OK ,"THE LOVE STATION, INC.                                                      ",120.0
2268,KOGL        ,44.8842777777778,-124.0165,89.3,0.01,-14.0,OR ,OREGON PUBLIC BROADCASTING                                                  ,120.0
2301,W207CI,35.2006388888889,-84.8832777777778,89.3,0.01,0.0,TN ,HOPE MEDIA GROUP                                                            ,360.0
2309,KNON        ,32.5901388888889,-96.9727777777778,89.3,0.01,259.0,TX ,"AGAPE BROADCASTING FOUNDATION, INC.                                         ",120.0
2318,KBRZ-FM     ,28.7725,-96.9549722222222,89.3,0.01,115.0,TX ,ALELUYA BROADCASTING NETWORK                                                ,120.0
2344,WTHX        ,42.8095277777778,-88.6749444444445,89.3,0.01,40.0,WI ,2820 COMMUNICATIONS INC,120.0
2346,WVWS        ,38.5963333333333,-80.39825,89.3,0.01,248.2,WV ,WEST VIRGINIA EDUCATIONAL BROADCASTING AUTHORITY                            ,120.0
2360,KTKF        ,63.3390833333333,-143.038333333333,89.5,0.01,-11.4,AK ,"ATHABASCAN FIDDLERS ASSOCIATION, INC.                                       ",120.0
2362,WGTF        ,31.2340555555556,-85.4338055555556,89.5,0.01,64.0,AL ,"BIBLE BROADCASTING NETWORK, INC.                                            ",120.0
2368,KDHH        ,36.3586111111111,-111.202694444444,89.5,0.01,333.0,AZ ,"GOOD NEWS BROADCASTING NETWORK, INC.                                        ",120.0
2395,KLXD        ,34.61225,-117.292416666667,89.5,0.01,432.0,CA ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
2396,K208BJ,40.7195833333333,-122.980555555556,89.5,0.01,0.0,CA ,"WEAVERVILLE TRANSLATOR CO., INC.                                            ",360.0
2427,WYFS        ,32.0651944444444,-81.3515,89.5,0.01,183.0,GA ,"BIBLE BROADCASTING NETWORK, INC.                                            ",120.0
2435,KLFG        ,42.8174722222222,-94.4116388888889,89.5,0.01,257.0,IA ,EDUCATIONAL MEDIA FOUNDATION                                                ,120.0
2448,WNIJ        ,42.0153055555556,-89.0020277777778,89.5,0.01,128.0,IL ,NORTHERN ILLINOIS UNIVERSITY                                                ,120.0
2469,WCWD        ,30.5733333333333,-90.2102777777778,89.5,0.01,94.0,LA ,CHRISTWOOD                                                                  ,120.0
2476,WNCK        ,41.285,-70.1397222222222,89.5,0.01,54.0,MA ,"NANTUCKET PUBLIC RADIO, INC.                                                ",120.0
2497,KQAL        ,44.07386111111111,-91.5773611111111,89.5,0.01,210.3,MN ,WINONA STATE UNIVERSITY                                                     ,120.0
2501,KCFV        ,38.7686388888889,-90.2878888888889,89.5,0.01,49.0,MO ,ST. LOUIS COMMUNITY COLLEGE                                                 ,120.0
2521,KPPR        ,48.1416944444445,-103.89325,89.5,0.01,150.0,ND ,"PRAIRIE PUBLIC BROADCASTING, INC.                                           ",120.0
2536,K208ED,32.2964722222222,-107.755305555556,89.5,0.01,0.0,NM ,INTENTIONAL LIFE MEDIA                                                      ,360.0
2548,WCOF        ,42.4614444444444,-78.3069722222222,89.5,0.01,180.7,NY ,"FAMILY LIFE MINISTRIES, INC.                                                ",120.0
2556,WILB-FM     ,41.0800555555556,-80.6400833333333,89.5,0.01,47.9,OH ,"LIVING BREAD RADIO, INC.                                                    ",120.0
2557,WHVY        ,40.3047777777778,-81.7342777777778,89.5,0.01,85.0,OH ,CLYDE EDUCATIONAL BROADCASTING FOUNDATION                                   ,120.0
2564,WZWP        ,38.8573055555556,-83.6104722222222,89.5,0.01,174.0,OH ,SOMERSET EDUCATIONAL BROADCASTING FOUNDATION                                ,120.0
2567,K208FD,35.4503333333333,-99.4606388888889,89.5,0.01,0.0,OK ,CSN INTERNATIONAL                                                           ,360.0
2582,K208EC,42.9834722222222,-120.830611111111,89.5,0.01,0.0,OR ,PACIFIC CASCADE COMMUNICATIONS CORPORATION                                  ,360.0
2589,WNTE        ,41.8064444444444,-77.0732777777778,89.5,0.01,-85.0,PA ,COMMONWEALTH UNIVERSITY OF PENNSYLVANIA                                     ,120.0
2591,WWPJ        ,40.8594722222222,-75.3008333333333,89.5,0.01,230.8,PA ,MERCER COUNTY COMMUNITY COLLEGE                                             ,120.0
2594,W208BA,33.7212777777778,-78.8955833333333,89.5,0.01,0.0,SC ,"CSN INTERNATIONAL, INC.                                                     ",360.0
2606,KMFA        ,30.32325,-97.7997222222222,89.5,0.01,398.0,TX ,"CAPITOL BROADCASTING ASSOCIATION, INC                                       ",120.0
2607,KVUD        ,28.80025,-96.1258055555555,89.5,0.01,138.2,TX ,HOPE MEDIA GROUP                                                            ,120.0
2638,WVPR        ,43.4375833333333,-72.45175,89.5,0.01,694.0,VT ,VERMONT PUBLIC CO.                                                          ,120.0
2650,WCNP        ,43.4278333333333,-89.6519166666667,89.5,0.01,321.3,WI ,LIBERTY AND FREEDOM INC.                                                    ,120.0
2660,KEWY        ,43.0874166666667,-108.772055555556,89.5,0.01,125.0,WY ,CENTRAL WYOMING COLLEGE                                                     ,120.0
2676,K209DT,33.2115277777778,-92.7046111111111,89.7,0.01,0.0,AR ,"FAMILY WORSHIP CENTER CHURCH, INC.                                          ",360.0
2688,K209CY,33.6175277777778,-114.773305555556,89.7,0.01,0.0,CA ,CSN INTERNATIONAL                                                           ,360.0
2696,K217GD,39.2055555555556,-121.820555555556,89.7,0.01,0.0,CA ,CSN INTERNATIONAL                                                           ,360.0
2701,K209AU,39.7690555555556,-120.436583333333,89.7,0.01,0.0,CA ,"WESTERN INSPIRATIONAL BROADCASTERS, INC.                                    ",360.0
2708,KWNK-FM     ,39.0170277777778,-120.123194444444,89.7,0.01,-128.0,CA ,RENO BIKE PROJECT                                                           ,120.0
2719,KTPS        ,37.1922222222222,-107.099194444444,89.7,0.01,381.0,CO ,"EDUCATIONAL COMMUNICATIONS OF COLORADO SPRINGS, INC.                        ",120.0
2722,KJWA        ,37.23725,-104.514972222222,89.7,0.01,241.0,CO ,HOPE MEDIA GROUP                                                            ,120.0
2752,WONU        ,41.1566944444444,-87.8711388888889,89.7,0.01,126.0,IL ,OLIVET NAZARENE UNIVERSITY                                                  ,120.0
2777,WDCL-FM     ,37.1581111111111,-85.1638333333333,89.7,0.01,174.0,KY ,WESTERN KENTUCKY UNIVERSITY                                                 ,120.0
2792,WNHG        ,42.9778055555556,-85.5955833333333,89.7,0.01,74.0,MI ,WEST CENTRAL MICHIGAN MEDIA MINISTRIES                                      ,120.0
2822,KEUK        ,48.9055,-115.005361111111,89.7,0.01,-112.0,MT ,THE UNIVERSITY OF MONTANA                                                   ,120.0
